"FullPath","RelPath","Directory","Name","Extension","SizeBytes","LastWriteTime","CreatedTime","IsText","IsBinary","Lines","SHA256","GitTracked","GitIgnored","GitUntracked","TopFolder"
"C:\GeoHistory\backend\.env","backend\.env","C:\GeoHistory\backend",".env",".env","350","31/08/2025 22:35:42","11/09/2025 22:45:58","True","False","4","ED5DDD2362C6351CED4C696C7E2DDF926490CF968B15BB55BF201AB28846E1DC","False","True","False","backend"
"C:\GeoHistory\backend\audit-20250922-150959\endpoints.csv","backend\audit-20250922-150959\endpoints.csv","C:\GeoHistory\backend\audit-20250922-150959","endpoints.csv",".csv","3","22/09/2025 15:11:59","22/09/2025 15:11:59","False","False",,"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","False","False","backend"
"C:\GeoHistory\backend\audit-20250922-150959\manifest_sources.json","backend\audit-20250922-150959\manifest_sources.json","C:\GeoHistory\backend\audit-20250922-150959","manifest_sources.json",".json","895","22/09/2025 15:11:50","22/09/2025 15:11:50","True","False","30","7A15F6A7EB28AE321689C7138E92A6D37F8C8FB32C6084282952177C76E96114","True","False","False","backend"
"C:\GeoHistory\backend\audit-20250922-150959\tree_full.txt","backend\audit-20250922-150959\tree_full.txt","C:\GeoHistory\backend\audit-20250922-150959","tree_full.txt",".txt","63115","22/09/2025 15:11:50","22/09/2025 15:11:49","True","False","2172","73AF84CF95B1FAA3E4B17BCE34D396BDCDBB3BB7F4C85891212EC2BBF065662A","True","False","False","backend"
"C:\GeoHistory\backend\index.js","backend\index.js","C:\GeoHistory\backend","index.js",".js","19022","08/10/2025 20:40:44","11/09/2025 22:45:58","True","False","503","EA8EB31D9CB578A9FEE316A7EF9A2A1763790666562C65F81BF3587BBD5CAB22","True","False","False","backend"
"C:\GeoHistory\backend\package.json","backend\package.json","C:\GeoHistory\backend","package.json",".json","371","31/08/2025 22:36:16","11/09/2025 22:45:58","True","False","17","601A329F2F5CA7E4E192005C6C2452274C10AF9B78EABC5C369CA6444CDCDE56","True","False","False","backend"
"C:\GeoHistory\backend\package-lock.json","backend\package-lock.json","C:\GeoHistory\backend","package-lock.json",".json","42198","31/08/2025 22:36:44","11/09/2025 22:45:58","True","False","1165","841DAE1AC5008C435C4D6142879F750E5A0FA46D6539CF15A10CE38C28088C1C","True","False","False","backend"
"C:\GeoHistory\backend\sql\20251007_add_media_assets.sql","backend\sql\20251007_add_media_assets.sql","C:\GeoHistory\backend\sql","20251007_add_media_assets.sql",".sql","9978","08/10/2025 20:31:20","08/10/2025 19:54:56","True","False","319","4E40C5A562B546914546AA9355AF6863980DA856AD58C49614263EE64C917837","True","False","False","backend"
"C:\GeoHistory\backend\sql\20251007_migrate_legacy_media.sql","backend\sql\20251007_migrate_legacy_media.sql","C:\GeoHistory\backend\sql","20251007_migrate_legacy_media.sql",".sql","5133","08/10/2025 20:57:24","08/10/2025 20:32:43","True","False","188","EDC859EA39A004F64C564A0532F2FB5E31EF8401D126D6E2C63C57EE50FED2F3","True","False","False","backend"
"C:\GeoHistory\backend\sql\README.md","backend\sql\README.md","C:\GeoHistory\backend\sql","README.md",".md","4068","08/10/2025 20:41:56","08/10/2025 19:56:08","True","False","47","21D955CE3E9ABFB8F457C73E8421229084C1F8ECEAD1686AB98D204DD8961655","True","False","False","backend"
