"Extension","FilesCount","TotalBytes","TextFiles","BinaryFiles","Tracked","Ignored","Untracked"
".tsx","86","788211","86","0","76","0","10"
".ts","40","102517","40","0","35","0","5"
".js","26","121200","26","0","26","0","0"
".svg","20","7805","0","20","20","0","0"
".json","18","2234623","18","0","18","0","0"
".csv","9","20187","0","0","9","0","0"
".jsx","7","51618","7","0","7","0","0"
".zip","6","251575763","0","6","0","6","0"
".bak","6","36465","0","0","6","0","0"
".css","5","19859","5","0","5","0","0"
".txt","5","1748584","5","0","5","0","0"
".py","4","11860","4","0","4","0","0"
".ps1","3","10876","3","0","2","0","1"
".local","2","1996","0","0","0","2","0"
".gitignore","2","271","0","0","2","0","0"
".env","2","700","2","0","0","2","0"
".png","2","562960","0","2","2","0","0"
".sql","2","15111","2","0","2","0","0"
"","1","7","0","0","0","1","0"
".toml","1","12871","1","0","1","0","0"
".jpg","1","322340","0","1","1","0","0"
".gitattributes","1","25","0","0","1","0","0"
".md","1","4068","1","0","1","0","0"
".log","1","1109","0","0","0","1","0"
